exec head 08c476c — 47 --exact records (44 carried + 45–48 new; #33 retired r9). Raw logs: /Users/forge/forge/v2/worker/reports/w-remit-r10/logs-b/exact-<name>-08c476c.log (cmp-identical copies of the runner's /tmp output; uncommitted per the evidence-location ruling). Columns: record · log line 1 (git HEAD at run time, reports-only commit; line 2 of every log states an empty .rs diff 08c476c..HEAD) · bytes · sha256 (first 16) · test result.

01-2b-node-08c476c · a44c0be · 3621 B · 865ccbfe0f69f8a4 · test result: ok. 1 passed; 0 failed; in 0.01s
02-2c-race-08c476c · a44c0be · 3587 B · a03efd55831d5be3 · test result: ok. 1 passed; 0 failed; in 0.11s
03-2d-backoff-08c476c · a44c0be · 3591 B · aede370a3953c102 · test result: ok. 1 passed; 0 failed; in 0.00s
04-2d-bootdelay-08c476c · a44c0be · 3565 B · d66ff64826a0db31 · test result: ok. 1 passed; 0 failed; in 0.00s
05-2d-jitter-08c476c · a44c0be · 3521 B · d19d0e9883e80a67 · test result: ok. 1 passed; 0 failed; in 0.00s
06-2d-singleflight-08c476c · a44c0be · 3557 B · cef5529b7b6a5006 · test result: ok. 1 passed; 0 failed; in 0.00s
07-2d-threshold-08c476c · a44c0be · 3601 B · 2c94723c24f0a275 · test result: ok. 1 passed; 0 failed; in 0.00s
08-2e-drain-bound-08c476c · a44c0be · 3605 B · bef49c2b9726a035 · test result: ok. 1 passed; 0 failed; in 0.68s
09-2e-rearm-08c476c · a44c0be · 3543 B · 18076f1f33ace616 · test result: ok. 1 passed; 0 failed; in 0.00s
10-2e-retract-08c476c · a44c0be · 3567 B · b7874d63b0fc8e2c · test result: ok. 1 passed; 0 failed; in 0.33s
11-2e-shutdown-drain-08c476c · a44c0be · 3597 B · 60edc97f41e039fd · test result: ok. 1 passed; 0 failed; in 1.74s
12-2e-shutdown-retries-08c476c · a44c0be · 3553 B · 478bc4d3c8fd44f8 · test result: ok. 1 passed; 0 failed; in 1.54s
13-2f-ceiling-08c476c · a44c0be · 3579 B · b969b4a22a69e2d1 · test result: ok. 1 passed; 0 failed; in 0.00s
14-2f-reserve-08c476c · a44c0be · 3591 B · f37573fd4c838e2f · test result: ok. 1 passed; 0 failed; in 0.01s
15-2g-B2-stale-snapshot-08c476c · a44c0be · 3593 B · 468a02cd47ce0896 · test result: ok. 1 passed; 0 failed; in 0.05s
16-2g-a-08c476c · a44c0be · 3613 B · 7467e81ddd70559a · test result: ok. 1 passed; 0 failed; in 0.01s
17-2g-b1-08c476c · a44c0be · 3587 B · 87912376eebe74b0 · test result: ok. 1 passed; 0 failed; in 0.02s
18-2g-b2-expired-held-08c476c · a44c0be · 3593 B · 38889b3cf47935ee · test result: ok. 1 passed; 0 failed; in 0.02s
19-2g-c-08c476c · a44c0be · 3615 B · 845217ad6a805653 · test result: ok. 1 passed; 0 failed; in 0.02s
20-2g-d-08c476c · a44c0be · 3567 B · f9eb6e09051f3bc4 · test result: ok. 1 passed; 0 failed; in 0.03s
21-2g-delayed-08c476c · a44c0be · 3583 B · 85e5320e1faa4723 · test result: ok. 1 passed; 0 failed; in 0.02s
22-E-first-retry-08c476c · a44c0be · 3631 B · 2ded9c271f417fcc · test result: ok. 1 passed; 0 failed; in 0.00s
23-E-one-line-08c476c · a44c0be · 3579 B · 409550cb4d617df8 · test result: ok. 1 passed; 0 failed; in 0.00s
24-cli-exit-map-08c476c · a44c0be · 596 B · 537ed205389e0ded · test result: ok. 1 passed; 0 failed; in 0.00s
25-cli-invocation-08c476c · a44c0be · 646 B · f610ace869f846cc · test result: ok. 1 passed; 0 failed; in 0.46s
26-2a-remit-follows-receipt-08c476c · a44c0be · 3587 B · 15930417bcdbda9b · test result: ok. 1 passed; 0 failed; in 0.00s
27-v13-migration-08c476c · a44c0be · 3609 B · 9e63d8f8c45b6977 · test result: ok. 1 passed; 0 failed; in 0.01s
28-r8-i-fee-fits-actual-differs-08c476c · a44c0be · 3677 B · c12cdb768edef8b3 · test result: ok. 1 passed; 0 failed; in 0.01s
29-r7-ii-fee-exceeds-08c476c · a44c0be · 3615 B · f38031c806508223 · test result: ok. 1 passed; 0 failed; in 0.00s
30-r7-iiib-fee-aware-plan-08c476c · a44c0be · 3615 B · 8d01f0447c97241a · test result: ok. 1 passed; 0 failed; in 0.01s
31-r7-never-fits-08c476c · a44c0be · 3563 B · 3c2547970dbbdbdc · test result: ok. 1 passed; 0 failed; in 0.00s
32-r7-fake-selfcheck-08c476c · a44c0be · 3619 B · 4102c90d0b97bbfd · test result: ok. 1 passed; 0 failed; in 0.00s
34-r7-total-display-08c476c · a44c0be · 3571 B · bab60644dc4d357b · test result: ok. 1 passed; 0 failed; in 0.00s
