exec head 31deed8 — 47 --exact records (44 carried + 45–48 new; #33 retired r9). Raw logs: /Users/forge/forge/v2/worker/reports/w-remit-r10/logs/exact-<name>-31deed8.log (cmp-identical copies of the runner's /tmp output; uncommitted per the evidence-location ruling). Columns: record · log line 1 (git HEAD at run time, reports-only commit; line 2 of every log states an empty .rs diff 31deed8..HEAD) · bytes · sha256 (first 16) · test result.

01-2b-node-31deed8 · ab9260f · 3621 B · 15147e523f32b96f · test result: ok. 1 passed; 0 failed; in 0.01s
02-2c-race-31deed8 · ab9260f · 3587 B · 391c69c78b7a2e69 · test result: ok. 1 passed; 0 failed; in 0.11s
03-2d-backoff-31deed8 · ab9260f · 3591 B · ea660e1e637cadd4 · test result: ok. 1 passed; 0 failed; in 0.00s
04-2d-bootdelay-31deed8 · ab9260f · 3565 B · 307ccb2d36e8a6e4 · test result: ok. 1 passed; 0 failed; in 0.00s
05-2d-jitter-31deed8 · ab9260f · 3521 B · 679bbcf7db0debd3 · test result: ok. 1 passed; 0 failed; in 0.00s
06-2d-singleflight-31deed8 · ab9260f · 3557 B · f0af62429088d115 · test result: ok. 1 passed; 0 failed; in 0.00s
07-2d-threshold-31deed8 · ab9260f · 3601 B · 287340a75e36412f · test result: ok. 1 passed; 0 failed; in 0.00s
08-2e-drain-bound-31deed8 · ab9260f · 3605 B · 4f7899f324c31e06 · test result: ok. 1 passed; 0 failed; in 0.70s
09-2e-rearm-31deed8 · ab9260f · 3543 B · b0ae842f44ce3636 · test result: ok. 1 passed; 0 failed; in 0.00s
10-2e-retract-31deed8 · ab9260f · 3567 B · 6b635d07cfe3cb83 · test result: ok. 1 passed; 0 failed; in 0.23s
11-2e-shutdown-drain-31deed8 · ab9260f · 3597 B · e9f1b1846ae9bc92 · test result: ok. 1 passed; 0 failed; in 1.57s
12-2e-shutdown-retries-31deed8 · ab9260f · 3553 B · 18e0d8796affb17f · test result: ok. 1 passed; 0 failed; in 1.53s
13-2f-ceiling-31deed8 · ab9260f · 3579 B · 26a0625021513431 · test result: ok. 1 passed; 0 failed; in 0.00s
14-2f-reserve-31deed8 · ab9260f · 3591 B · 84e5be4d661c47c3 · test result: ok. 1 passed; 0 failed; in 0.01s
15-2g-B2-stale-snapshot-31deed8 · ab9260f · 3593 B · 4e6d8e892a491627 · test result: ok. 1 passed; 0 failed; in 0.06s
16-2g-a-31deed8 · ab9260f · 3613 B · 2d5d5345a0c3f26b · test result: ok. 1 passed; 0 failed; in 0.03s
17-2g-b1-31deed8 · ab9260f · 3587 B · f85f9d93003989af · test result: ok. 1 passed; 0 failed; in 0.01s
18-2g-b2-expired-held-31deed8 · ab9260f · 3593 B · e853a189beef0a76 · test result: ok. 1 passed; 0 failed; in 0.02s
19-2g-c-31deed8 · ab9260f · 3615 B · b639302d633a1099 · test result: ok. 1 passed; 0 failed; in 0.01s
20-2g-d-31deed8 · ab9260f · 3567 B · 36c06d8a7095724e · test result: ok. 1 passed; 0 failed; in 0.07s
